36.0992 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
547.4559 	Level finished 	25
547.4572 	DATA 	Keypress: o
547.4753 	Level image=waterlogo.jpg 	25
548.4750 	Level injecting via pump at address 0 	25
554.4613 	DATA 	Keypress: o
554.4625 	DATA 	Keypress: o
554.4637 	DATA 	Keypress: o
554.4735 	Level WAIT 	25
555.4741 	Level RINSE 	25
557.4722 	Level jitter 	25
564.4559 	Level finished 	25
